code,proname,qty,rate,thb_price,price
ຈອຍມາສເມໂລຄັບ 12 ອັນ,8850203364698,,,,37000
ຈອນນີ່ 5 ຊອງ,25316,,,,28000
ຈອນນີ່ຂຽວ,4897028983158,,,,8000
ຈອນນີ່ຂຽວ 10ຊອງ,4897028983165,,,,65000
ຈອນນີ່ຟ້າ,4897028983486,,,,10000
ຈອນນີ່ຟ້າ 10 ຊອງ,4897028983493,,,,95000
ຈອນລີ່ໂຄລ່າ,8850587000427,,,,4000
ຈອນລີ່ໂຄລ່າ 12 ຫໍ່,8850587000434,,,,37000
ຈອນສັນກະປຸກນ້ອຍບົວ50ກັມ,88530208,,,,46000
ຈອນສັນກະປຸກນ້ອຍຟ້າ50ກັມ,88531649,,,,56000
ຈອນສັນກະປຸກໃຫຍ່ບົວ100ກັມ,88530215,,,,66000
ຈອນສັນກະປຸກໃຫຍ່ຟ້າ100ກັມ,8850007070184,,,,74000
ຈອນສັນອອຍ,8850007060314,,,,38000
ຈອນສັນອອຍຂຽວ125ມລ,4801010504306,,,,65000
ຈອນສັນອອຍບົວ125ມລ,4801010501312,,,,60000
ຈອນສັນອອຍໃຫຍ່ສີມ່ວງ300ມລ,8801008020401,,,,120000
ຈັບລ້ຽງ,8854698013994,,,,13000
ຈັບລ້ຽງ 4ແພັກ,11973,,,,240000
ຈັບລ້ຽງ 6ຕຸກ,1*68854698013994,,,,61000
ຈາໄມກ້າແຊກ,8854458009113,,,,4000
ຈາໄມກ້າແຊກ 12 ອັນ,8854458005047,,,,37000
ຈຳລັງ ພ້ອມແກ້ວ 12ແກ້ວ,12136,,,,30000
